Index,Closed Ledgers per Sample,Cumulative Closed Ledgers,SamplingFrequency,Last Ledger Close,Proposers
0,1,1,11:21:06,3.004,36
1,1,2,11:21:10,3.003,36
2,1,3,11:21:13,3.004,36
3,1,4,11:21:17,3.004,36
4,1,5,11:21:21,3.004,36
5,1,6,11:21:25,2.003,36
6,1,7,11:21:29,3.002,36
7,1,8,11:21:33,3.005,36
8,1,9,11:21:36,2.007,36
9,1,10,11:21:40,3.003,36
10,1,11,11:21:44,3.003,36
11,1,12,11:21:48,3.004,36
12,1,13,11:21:52,3.006,36
13,1,14,11:21:56,3.008,36
14,1,15,11:21:59,3.009,36
15,1,16,11:22:03,3.006,36
16,1,17,11:22:07,3.005,36
17,1,18,11:22:11,3.009,36
18,0,18,11:22:15,3.018,36
19,2,20,11:22:18,3.002,36
20,0,20,11:22:22,3.004,36
21,1,21,11:22:25,3.004,36
